id,trt_image,volt
EP1131,CON_neu_6_8,.
EP1132,CON_neu_6_8,-6.541
EP1140,CON_neu_6_8,.
EP1141,CON_neu_6_8,211.4145
EP1142,CON_neu_6_8,41.05416667
EP1146,CON_neu_6_8,55.0265
EP1147,CON_neu_6_8,-19.53366667
EP1148,CON_neu_6_8,-25.2735
EP1150,CON_neu_6_8,-5.262833333
EP1156,CON_neu_6_8,.
EP1157,CON_neu_6_8,.
EP1158,CON_neu_6_8,-1.937666667
EP1159,CON_neu_6_8,46.25466667
EP1160,CON_neu_6_8,-2.666833333
EP1161,CON_neu_6_8,17.83066667
EP1163,CON_neu_6_8,.
EP1164,CON_neu_6_8,.
EP1166,CON_neu_6_8,12.88966667
EP1167,CON_neu_6_8,15.9695
EP1168,CON_neu_6_8,23.30433333
EP1170,CON_neu_6_8,.
EP1172,CON_neu_6_8,.
EP1173,CON_neu_6_8,48.58166667
EP1174,CON_neu_6_8,-29.405
EP1175,CON_neu_6_8,27.09066667
EP1176,CON_neu_6_8,8.524333333
EP1132,PRE_neu_6_8,5.211333333
EP1140,PRE_neu_6_8,11.74983333
EP1141,PRE_neu_6_8,.
EP1142,PRE_neu_6_8,41.37383333
EP1146,PRE_neu_6_8,-5.345666667
EP1147,PRE_neu_6_8,-74.1405
EP1148,PRE_neu_6_8,0.436166667
EP1150,PRE_neu_6_8,.
EP1157,PRE_neu_6_8,-25.22266667
EP1158,PRE_neu_6_8,.
EP1159,PRE_neu_6_8,-3.622166667
EP1160,PRE_neu_6_8,23.0745
EP1161,PRE_neu_6_8,36.79483333
EP1163,PRE_neu_6_8,.
EP1164,PRE_neu_6_8,.
EP1166,PRE_neu_6_8,.
EP1167,PRE_neu_6_8,96.34533333
EP1168,PRE_neu_6_8,6.3895
EP1170,PRE_neu_6_8,34.7765
EP1172,PRE_neu_6_8,7.2185
EP1173,PRE_neu_6_8,10.299
EP1174,PRE_neu_6_8,1.574666667
EP1175,PRE_neu_6_8,.
EP1176,PRE_neu_6_8,-12.04833333
