id,trt_image,volt
EP1131,CON_neg_6_8,.
EP1132,CON_neg_6_8,-2.11
EP1140,CON_neg_6_8,.
EP1141,CON_neg_6_8,155.7408333
EP1142,CON_neg_6_8,36.9095
EP1146,CON_neg_6_8,43.33416667
EP1147,CON_neg_6_8,-15.58716667
EP1148,CON_neg_6_8,-25.037
EP1150,CON_neg_6_8,20.01583333
EP1156,CON_neg_6_8,.
EP1157,CON_neg_6_8,.
EP1158,CON_neg_6_8,33.39966667
EP1159,CON_neg_6_8,-29.72733333
EP1160,CON_neg_6_8,-1.289333333
EP1161,CON_neg_6_8,10.74633333
EP1163,CON_neg_6_8,.
EP1164,CON_neg_6_8,.
EP1166,CON_neg_6_8,-39.234
EP1167,CON_neg_6_8,-5.1455
EP1168,CON_neg_6_8,-36.99983333
EP1170,CON_neg_6_8,.
EP1172,CON_neg_6_8,.
EP1173,CON_neg_6_8,55.2265
EP1174,CON_neg_6_8,-14.13833333
EP1175,CON_neg_6_8,57.77133333
EP1176,CON_neg_6_8,2.2535
EP1132,PRE_neg_6_8,21.62366667
EP1140,PRE_neg_6_8,43.6985
EP1141,PRE_neg_6_8,.
EP1142,PRE_neg_6_8,-0.983333333
EP1146,PRE_neg_6_8,-47.77866667
EP1147,PRE_neg_6_8,-8.512166667
EP1148,PRE_neg_6_8,22.82733333
EP1150,PRE_neg_6_8,.
EP1157,PRE_neg_6_8,3.436
EP1158,PRE_neg_6_8,.
EP1159,PRE_neg_6_8,-1.187
EP1160,PRE_neg_6_8,2.487666667
EP1161,PRE_neg_6_8,-8.463
EP1163,PRE_neg_6_8,.
EP1164,PRE_neg_6_8,.
EP1166,PRE_neg_6_8,.
EP1167,PRE_neg_6_8,24.91883333
EP1168,PRE_neg_6_8,0.531833333
EP1170,PRE_neg_6_8,1.899833333
EP1172,PRE_neg_6_8,11.122
EP1173,PRE_neg_6_8,6.854833333
EP1174,PRE_neg_6_8,-4.243166667
EP1175,PRE_neg_6_8,.
EP1176,PRE_neg_6_8,12.59
