id,trt_image,volt
EP1131,CON_pos_6_8,.
EP1132,CON_pos_6_8,-6.5615
EP1140,CON_pos_6_8,.
EP1141,CON_pos_6_8,305.1915
EP1142,CON_pos_6_8,48.34833333
EP1146,CON_pos_6_8,23.77066667
EP1147,CON_pos_6_8,6.589666667
EP1148,CON_pos_6_8,-15.81083333
EP1150,CON_pos_6_8,-12.4285
EP1156,CON_pos_6_8,.
EP1157,CON_pos_6_8,.
EP1158,CON_pos_6_8,6.524
EP1159,CON_pos_6_8,-5.2425
EP1160,CON_pos_6_8,15.3265
EP1161,CON_pos_6_8,12.2475
EP1163,CON_pos_6_8,.
EP1164,CON_pos_6_8,.
EP1166,CON_pos_6_8,8.008166667
EP1167,CON_pos_6_8,5.960333333
EP1168,CON_pos_6_8,22.63733333
EP1170,CON_pos_6_8,.
EP1172,CON_pos_6_8,.
EP1173,CON_pos_6_8,95.04733333
EP1174,CON_pos_6_8,39.88666667
EP1175,CON_pos_6_8,84.28583333
EP1176,CON_pos_6_8,-4.8215
EP1132,PRE_pos_6_8,30.62533333
EP1140,PRE_pos_6_8,0.6
EP1141,PRE_pos_6_8,.
EP1142,PRE_pos_6_8,-21.19416667
EP1146,PRE_pos_6_8,-19.27583333
EP1147,PRE_pos_6_8,22.09616667
EP1148,PRE_pos_6_8,22.92833333
EP1150,PRE_pos_6_8,.
EP1157,PRE_pos_6_8,8.810666667
EP1158,PRE_pos_6_8,.
EP1159,PRE_pos_6_8,7.761833333
EP1160,PRE_pos_6_8,3.315
EP1161,PRE_pos_6_8,12.35066667
EP1163,PRE_pos_6_8,.
EP1164,PRE_pos_6_8,.
EP1166,PRE_pos_6_8,.
EP1167,PRE_pos_6_8,99.5485
EP1168,PRE_pos_6_8,8.7725
EP1170,PRE_pos_6_8,-11.957
EP1172,PRE_pos_6_8,5.6975
EP1173,PRE_pos_6_8,4.429833333
EP1174,PRE_pos_6_8,-0.7705
EP1175,PRE_pos_6_8,.
EP1176,PRE_pos_6_8,0.647
